ko	en
It takes two to tango	한 사람 혼자서 책임이 없다. 두 사람 모두 책임이 있다
Every dog has its day	쥐구멍에도 볕들 날 있다. 누구에게나 적어도 하후 이루는 좋은 날은 있다
out of the blue	느닷없이
Let someone off the hook	책임을 물지 않다. 궁지에서 구해주다
No pain, no gain	원하는 것이 있다면 노력해야 한다
Out of the frying pan and into the fire	여우를 피해서 호랑이를 만났다
manage to	간신히 해내다
You can lead a horse to water, but you can't  make him drink	물가에 말을 데려갈 수는 있으나 마시게는 할 수 없다. 가르쳐 줄 수는 있으나 배우는 것은 본인 몫이다
take a rain check	다음을 기약하다
a stone’s throw away	매우 가까운 거리
come across	우연히 마주치다
Weather the storm	어려운 일을 헤쳐나가다
fall apart at the seams	자제력을 상실하다
Speak of the devil	호랑이도 제 말 하면 온다
Through thick and thin	좋을 때나 나쁠 때나
It is a poor workman who blames his tools	당신이 그 일을 할 수 없다면, 그것에 대해서 다른 사람들 탓하지 마라
have an ax to grind	꿍이가 있다
It's a piece of cake	누워서 떡 먹기다, 아주 쉬운일이다
Birds of a feather flock together	비슷한 사람들끼리 친해진다(보통 부정적으로 사용됨)
The devil is in the detail	멀리서 보면 문제가 없지만 가까이서 보면 아닌 것
brass monkey weather	몹시 추운 날씨
When it rains it pours	모든 일이 동시에 더 나빠진다
pull for	지지하다, 지원하다
Make a long story short	무엇인가를 간략하게 말하다
Kill two birds with one stone	일석이조
A little learning is a dangerous thing	선무당이 사람 잡는다. 애매한 지식은 모르는 게 낫다
Don't count your chickens before they hatch	무엇인가 좋은 일이 정말로 일어나기 전에 일어났다고 의지하지 마라.
He’s a chip off the old block	부전자전
Like two peas in a pod	그들은 항상 같이 있다
Under the weather	몸이 안 좋은. 건강하지 못한, 아픈
By the skin of your teeth	아주 조금
Snowed under	바쁘다
Have your head in the clouds	뜬구름 잡고 있다, 엉뚱한 생각한다
Your guess is as good as mine	나도 몰라
Live and learn	실수를 했다
like an oven	푹푹 찌게 더운
Call it a day	그만하다
A storm in a teacup	작은 문제에 대해서 소란스럽다
The early bird gets the worm	먼저 도착하는 사람들이 최고의 것을 얻는다
Better late than never	늦더라도 하지 않는 것보단 낫다
We'll cross that bridge when we come to it	그 문제에 대해서는 지금 당장 이야기하지 말자
An ounce of prevention is worth  a pound of cure	치료보다 예방이 좋다. 일을 막는 게 고치는 것보다 쉽다
The early bird gets the worm	일찍 일어나는 새가 벌레를 잡는다
Get a second wind	피곤한 다음에 에너지가 더 생기다
Speak of the devil	호랑이도 제말하면 온다더니!
It takes two to tango	한쪽만 책임이 있는 것이 아니다
Kill two birds with one stone	일석이조, 일거양득, 한 번에 두 가지 일을 해결하다
On cloud nine	매우 행복하다
under one’s wing	~의 보살핌을 받고 있는
Do something at the drop of a hat	미리 계획하지 않고 무엇인가를 하다
You can lead a horse to water, but you can't make him drink	누군가에게 옳은 결정을 하라고 강요할 수 없다
to boot	게다가
add fuel to the fire	불 난 집에 부채질하다
Go on a wild goose chase	헛수고하다
give (someone) a break	봐주다
Hit the nail on the head	정곡을 찌르다
To make matters worse	문제를 더 악화시키다
in the flesh	실제로, 직접
Well begun is half done	좋은 시작은 중요하다
have a crush on	반하다
A penny for your thoughts	당신이 생각하는 것을 제게 말해 주세요
A perfect storm	생각할 수 있는 최악의 상황
Call it a day	일을 그만하다, 퇴근하다
You can catch more flies with honey than you can with vinegar	착하면 원하는 것을 얻을 것이다
Easy does it	살살하다
Have your head in the clouds	집중하고 있지 않다
Pull someone's leg	누군가를 놀리다, 누군가에게 장난을 치다
Don't cry over spilt milk	어떻게 할 수 없는 것에 대해서는 불평할 이유가 없다
Like riding a bicycle	어떻게 하는지 결코 잊어버리지 않는 무엇인가
There is no such thing as a free lunch	공짜는 없다.
A stitch in time saves nine	문제가 심해지기 전에 고쳐라. 문제는 제때 해결해라
To get bent out of shape	화를 내다
Shape up or ship out	더 잘할 거 아니면 떠나라. 제대로 할거 아니면 떠나라
A storm(영국에선 tempest) in a teacup	작은 일을 가지고 난리를 친다
Get wind of something	무엇인가 비밀인 것에 대한 뉴스를 듣다
two cents	충고
Burn bridge	관계를 파탄 내다
Birds of a feather flock together	유유상종, 비슷한 사람들은 비슷하게 행동한다
Give someone the benefit of the doubt	누군가 말하는 것을 믿다
Throw caution to the wind	위험을 감수하다, 모험을 하다
Jump on the bandwagon	트렌드를 따르라, 다른 사람이 하는 것을 하라
He's off his rocker	그는 미쳤다
A penny saved is a penny earned	돈을 아끼는 것은 돈을 버는 것이다
if worst comes to worst	최악의 경우에는
Hear something straight from the horse's mouth	관계자로 부터 무엇인가를 듣다
A perfect storm	일어날 수 있는 최악의 상황
On thin ice	위험한 상태, 아슬아슬
There's a method to his madness	미친 것처럼 보이지만 실제로 영리하다
Comparing apples to oranges	비교될 수 없는 두 가지를 비교하다
be about to~	막 ~하려고 하다
hit the nail on the head	정곡을 찌르다
Don't count your chickens before they hatch	설레발치지 말자
Run like the wind	빨리 달리다
Know which way the wind is blowing	상황을 이해하라(보통 부정적임)
The pot calling the kettle black	똥 묻은 개가 겨 묻은 개를 욕한다
By the skin of you teeth	간발의 차로, 간신히, 가까스로
bank on	의지하다
It takes one to know one	그렇게 말하는 너야말로 그렇다
can’t hold a candle to ~	~와 상대가 되지 않다.
Do unto others as you would have them do unto you	"사람들을 공정하게 대하다. ""황금 규칙""으로도 알려져 있음"
lay it on thick	과장하다
Wrap your head around something	복잡한 무엇인가를 이해하다
Go back to the drawing board	다시 하다. 재시작. 백지로 되돌리다
Take it with a grain of salt	너무 심각하게 받아들이지 말아라.
rain cats and dogs	비가 억수로 내리다
An apple a day keeps the doctor away	사과는 몸에 좋다. 사과를 먹자
He's not playing with a full deck	그는 멍청하다
target acquired	찾았다! 목표 발견
You can't make an omelet without breaking some eggs	무엇을 하려면 항상 희생이 따른다
throw (something) together	급히 만들다
Let sleeping dogs lie	긇어 부스럼 만들지 마라. 괜히 언급하지 마라
Run like the wind	매우 빠르게 달리다
A picture is worth 1000 words	백번 말하는 것보다 한번 보여주는 것이 낫다
Under the weather	아프다
Slow and steady wins the race	서두르면 일을 망친다. 차근차근 꾸준히
As right as rain	완벽한, 건강한
kick around	함부로 대하다
Fortune favors the bold	행운은 용감한 자를 좋아한다, 위기를 두려워하지 말자
Come rain or shine	비가 오나 눈이 오나, 무슨 일이 있더라도, 반드시
Break a leg	행운을 빈다
Hit the nail on the head	정곡을 찌르다, 정확하다
A snowball chance in hell	가망이 없는, 희망이 없는, 가망 없는 희망
Take it with a grain of salt	너무 심각하게 받아들이지 말라
Throw caution to the wind	위험을 감수하다
It was a poor workman who blames his tool	서투른 일꾼이 연장 탓을 한다
tell apart	구별하다
Miss the boat	너무 늦다
Go down in flames	화려하게 실패하다
Leave no stone unturned	샅샅이 봐라
so to speak	말하자면
throw in the towel	그만두다, 기권하다
Time flies when you're having fun	재미있을 때는 얼마나 지났는지 알아채지 못한다
Don't put all your eggs in  one basket	올인 하지 마라, 네가 하고 있는 것은 위험하다
on and off	오락가락
Easy does it	(명령) 천천히, 살살해라
yank (someone’s) chain	괴롭히다
Burn bridges	관계를 망치다
Make hay while the sun shines	좋은 상황을 이용하다
Look before you leap	돌다리도 두르려 보고 건너라
Like two peas in a pod	판박이, 매우 닮은, 똑같이 생긴
Let sleeping dogs lie	문제를 더 이상 논의하지 마라
break the mold	고정관념을 깨다
Time is money	빨리 일해라
Get something out of your system	하고 싶은 것을 해서 더 이상 원하지 않게 하다
Those who live in glass shouldn't throw stones	자기 자신이 떳떳지 못하면 남을 비난하지 마라
Break a leg	행운을 빌다. 주로 출연하는 배우들한테 사용
Break the ice	불편한, 서먹한 분위기를 깨다, 편하게 하다
Spill the beans	비밀을 밝히다. 누설하다
Jump on the bandwagon	대세를 따르다. 시류에 편승하다
There are clouds on the horizon	문제가 생 길려 한다, 문제가 보인다
at the drop of a hat	순식간에
Barking up the wrong tree	엉뚱한 사람을 비난하다, 잘못된 곳에서 해결책을 구하다
prescription after death	사후약방문
The whole nine yards	모든 것, 전부
Give the benefit of doubt	속는 셈 치고 믿어주다, 불안하지만 믿어준다
He has a bigger fish to fry	더 중요한 일이 있다
a walk in the park	쉬운 일, 식은 죽 먹기
Familiarity breeds contempt	누군가를 더 잘 알면 알수록 그를 덜 좋아하게 된다
lose touch	연락이 끊기다
Rain on someone's parade	초를 치다, 훼방을 놓다, 흥을 깨다, 분위기를 망치다
Go down in flame	엄청난 실패
Good things come to those who wait	기다리면 복이 온다, 인내하라
Once bitten, twice shy	전에 다친적이 있으면 더 조심한다
in a daze	어리둥절한 상태인
go back to the drawing board	다시 시작하다
Spill the beans	비밀을 누설하다
Ignorance is bliss	모르는 것이 낫다
turn to	의지한다
You can catch more flies with honey than you can with vinegar	친절하면 원하는 것을 얻을 것이다
Hear something straight from the horse's mouth	당사자에게서 직접 듣는다
Comparing apples to orange	비교해서 안될 것을 비교하는 행위
Get wind of something	소식이나 비밀에 대해 알게 되다
a bit thick	지나친, 과도한
There are other fish in the sea	이 기회를 놓쳐도 괜찮다. 다른 것이 생길 것이다.
be dying to~	~하고 싶어 죽겠다
perfect storm	설상가상
He's sitting on the fence	그는 결정을 할 수 없다
It is always darkest before the dawn	해가 뜨기 전이 가장 어둡다. 잘 될 것이다
Calm before the storm	폭풍 전 고요
have sticky fingers	손버릇이 나쁘다, 도벽이 있다
A penny for your thoughts	무슨 생각을 하고 있는지 얘기해봐
harf in the back	만취한
Water under the bridge	이미 지나간 일
throw cold water on	찬물을 끼얹다
The best thing since sliced bread	매우 좋은 생각 또는 발명품, 매우 좋은 것
Fit as a fiddle	건강한, 신체가 탄탄한
story of my life	내 팔자가 이렇지 뭐
good thing come in small package	작은 고추가 맵다, 가치는 크기와 상관없다.
Cut the Mustard	기대하는 만큼 좋다, 기대에 부응하다
Well begun is half done	시작이 반이다
long shot	가능성이 희박한 시도
A little learning is a dangerous thing	어떤 것에 대해서 완전히 알지 못하는 사람들은 위험하다
Fit as a fiddle	건강하다
Fortune favours the bold	위험을 감수하다
Go on a wild goose chase	의미 없는 행동을 하다
Get a taste of your own medicine	자업자득, 인과응보
There's no such thing as a free lunch	어떤 것도 완전하게 공짜인 것은 없다
Don't beat dead horse	뒷북치지 마라, 끝난 일에 메이지 마라
Give someone the cold shoulder	누군가를 무시하다
at a time	한번에
Let the cat out the bag	무심코 비밀을 누설하다
a pat on the back	칭찬
Haste makes waste	무엇인가를 서두르면 실수를 할 수 있다
Put something on ice	일을 잠시 중단하다
by the skin of your teeth	아주 조금
Curiosity killed the cat	그만 물어 보아라
Get a taste of your own medicine	자기가 한대로 당한다(부정적)
A snowball's chance in hell	기회가 전혀 없다
Know which way the wind is blowing	상황을 이해하다, 파악하다
hit the books	공부하다
thick and fast	끊임없이
Come rain or shine	무슨 일이 있든지
Action speaks louder than words	백문이 불여일견, 말보다 행동
The whole nine yard	모든 것, 끝까지
 a dime a dozen  	흔하다, 평범한 
It's raining cats and dogs	비가 억수같이 내린다
Saving for a rainy day	어려울 때를 대비해 아껴라, 모을 수 있을 때 모으자
Like riding a bicycle	한번 배우면 잊어버리기 힘든 일
get down to brass tacks	핵심적인 논점으로 넘어가다
That ship has sailed	너무 늦다
Actions speak louder than words	사람들이 말하는 것이 아니라, 사람들이 하는 것을 믿다
Don't give up your day job	당신이 이것을 잘 하지 못한다
Every cloud has a silver lining	좋은 일은 나쁜 일 후에 온다
Cost an arm and a leg	매우 비싼, 매우 많은 돈을 들인
He has bigger fish to fry	그는 지금 우리가 이야기하고 있는 것보다 더 중요한 일이 있다
Hit the sack	잠을 자다. 잠자리에 들다
It's raining cats and dogs	비가 억수로 오고 있다
On thin ice	시험중. 한 번만 더 실수하면, 문제가 있다
So far so good	지금까지는 좋다. 아직까지는 괜찮다
He who laughs last laughs loudest	마지막에 웃는 자가 최후의 승자다
Waste not, want not	낭비하지 않으면 부족할 것이 없다
Live and learn	경험으로 알다, 살다 보면 실수도 한다
When it rains it pours	설상가상, 엎친 데 덮친, 나쁜 일은 한꺼번에 생긴다
six feet under	이미 무덤에 묻힌 / 사망한
thick as two short planks	머리가 아주 나쁜
Cross the bridge when you come to it	지금 당장의 문제는 아니다. 나중에 얘기하자
catch up	따라잡다
You can't have your cake and eat it too	모든 것을 가질 수는 없다
think out of the box	고정관념을 깨다
for good	영원히
take sides	(어느 쪽의) 편을 들다
in the bag	확실한, 보증된
It's not rocket science	복잡하지 않다
It is always darkest before the dawn	일들이 잘 될 것이다
Hang in there	포기하지 마라
keep a low profile	이목을 피하다
A bird in the hand is worth two in the bush	지금 있는 게 있을 지도 모르는 것보다 가치 있다
Put something on ice	무언가를 멈추다, 보류하다, 연기하다
An ounce of prevention is worth a pound of cure	작은 노력만 하면 문제를 예방할 수 있다. 나중에 해결하려고 하면 더 힘들다.
Don't beat a dead horse	넘어 가자, 이 주제는 끝난 주제이다
That ship has sailed	기회를 놓치다, 이미 늦었다
You can say that again	정말 그렇다. 동의한다
act out 	선을 넘다 
Look before you leap	계산된 위험만 감수하다
The pot calling the kettle black	숯이 검정 나무란다
Costs an arm and a leg	매우 비싸다
that’s the last straw	내 인내심이 한계에 도달했다
Shape up or ship out	제대로 하지 않으려면 가라
A dime a dozen	흔하디흔한. 흔해 빠진, 널리고 널린, 평범한, 싸구려
Bite the bullet	울며 겨자 먹기. 피할 수 없는 일을 하기
It's not rocket science	복잡하지 않다. 단순하다
Out of the frying pan and into the fire	설상가상, 상황이 악화될 때. 산 넘어 산
A blessing in disguise	처음엔 나쁘게 보였던 뜻밖의 좋은 결과
Good things come to those who wait	인내하다
Bite off more than you can chew	마칠 수 없는 프로젝트를 맡다
Better late than never	아예 오지않는 것보다 늦게라도 도착하는 것이 낫다
in the thick of the back	최후의 수단
Beat around the bush	요점을 말하지 않고 말을 돌리다
Time is money	시간은 금/돈이다, 시간은 귀중하다
A stitch in time saves nine	문제가 있으면 지금 해결하라. 시간이 지나면 더 나빠질 것이다
Let the cat out of the bag	비밀을 누설하다
have a ball	즐기다
Your guess is as good as mine	모른다
feel under the weather	몸이 살짝 아프다
take one’s own life	자살하다
Get wind of wind	기력을 회복하다
Cutting corners	시간이나 돈을 아끼기 위해 대충 하는 것. 요령을 피우다
Calm before the storm	무엇인가 나쁜 일이 일어날 것이지만, 지금 당장은 조용하다
He's a chip off the old block	부전자전, 부모와 쏙 빼닮았다
A blessing in disguise	새옹지마, 전화위복. 흉인 줄 알았으나 알고 보니 길일 때
Take a rain check	다음을 기약하다, 후일에 도모
A snowball effect	눈덩이 효과, 순식간에 기하급수적으로 늘어나는 효과
break the ice	어색한 분위기를 깨다
Slow and steady wins the race	빠르기 보다는 신중함이 더 중요하다
That's the last straw	참을 만큼 참았다. 인내심의 끝
That's the last straw	내 인내심이 한계에 도달했다
pull apart	잡아뜯다, 마음을 찢다, 분석하다
Do unto others as you would have them do unto you	황금률, 남에게 대접받고자 하는 대로 남을 대하자
There's a method to his madness	미쳐 보이지만 사실 지능적인 행동
Haste makes waste	서두르지 마라, 급할수록 돌아가라
Leave no stone unturned	구석 구석 뒤져라, 샅샅이 찾아라
So far so good	지금까지 모든 일이 순조롭대
Give someone the cold shoulder	무시하다
On the ball	유능하게 잘한다
make up for	만회하다
Cut the mustard	잘해라
pull ahead	앞지르다, 나아지다
The best thing since sliced bread	정말로 좋은 발명
speak of the devil	호랑이도 제 말하면 온다
Hit the sack	자러 가다
You can say that again	그렇다, 동의하다, 긍정하다
Through thick and thin	좋을 때나 나쁠 때나, 기쁠 때나 슬플 때나
Pull yourself together	진정해라. 침착해라
It takes one to know one	너도 나와 같다, 너나 나나, 그리 말하는 너야 말로
Those who live in glass houses shouldn't throw stones	도덕적으로 문제가 있는 사람들은 다른 사람들을 비판해서는 안된다
Curiosity killed the cat	지나친 호기심은 몸을 상하게 한다
Get your act together	정신 차려라, 똑바로, 제대로 해라. 단단히 해라
Get out of hand	감당할 수 없게 되다
It's a piece of cake	쉽다
Weather the storm	고비를 넘기다, 시련을 극복한다, 역경을 이겨내다
Beat around the bush	불편하기 때문에 정말로 하고 싶은 말은 피한다
Bite the bullet	피할 수 없는 것을 이를 악물고 하다
Rain on someone's parade	무엇인가를 망치다
Take a rain check	계획을 지연하다
Bite off more than you can chew	욕심을 부리다, 감당하지 못할 일을 하다, 분수를 모르다
The ball is in your court	너에게 달렸다, 네가 결정할 일이다
Break the ice	사람드을 좀 편하게 만들어 주다
Saving for a rainy day	미래를 위해서 돈을 저축하다
Snowed under	아주 바쁜, 일이 많은, 압도되다
A bird in the hand is worth two in the bush	지금 가진 것이 나중에 가질 수도 있는 것보다 가치있다
Add insults to injury	엎친 데 덮친 격, 일을 더 꼬다, 악화 시키다
There are clouds on the horizon	어려움이 있을 것이다
Familiarity breeds contempt	호의가 계속되면 당연시한다, 친해지면 무례해지기 쉽다
As right as rain	완벽하다
make sense	이해가 되다.
Get your act together	더 열심히 하던지 아니면 그만 두다
You can't judge a book by its cover	이 사람이나 이것은 나빠 보이지만, 속은 그렇지 않다
A penny saved is a penny earned	오늘 절약하는 돈은 나중에 사용할 수 있다
Every dog has his day	모든 사람은 적어도 한 번은 기회를 얻는다
On the ball	잘 알고 있다, 잘 하고 있다, 훤히 꿰뚫고 있다
He's off his rocker	미친, 정신이 나간
Miss the boat	기회를 놓치다, 늦었다. 돌이 킬 수 없는
Once in a blue moon	아주 드물게
Don't cry over spilt milk	엎질러진 물은 다시 담을 수 없다
Make hay while the sun shines	기회를 활용해라, 기회가 있으면 잡아라
Ignorance is bliss	모르는 게 약이다, 모르는 게 차라리 낫다
He's a chip off the old block	부전자전
Don't put all your eggs in one basket	당신이 하고 있는 일은 너무 위험 부담이 크다
Pull someone's leg	놀리다
The best of both worlds	두 가지의 장점만 있고 단점은 없다. 이상적인 상황
call it a day	그만하다
throw down the gauntlet	도전하다
Play devil's advocate	반대를 위한 반대, 토론을 활성화하기 위해 일부러 반대
don’t give up the day job	다른 일을 잘 하지 못하다
A snowball effect	사건들은 모멘텀을 가지며 서로 관계되어 커진다
break a leg	행운을 빈다
lend a hand	도와주다, 도움의 손길을 내밀다.
Every cloud has a silver lining	나쁜 일 뒤에는 좋은 일이 따른다
A dime a dozen	매우 평범한
The best of both worlds	이상적인 상황
Make a long story short	요약해서, 간단히 말해서
ask for trouble	화를 자초하다
Once bitten, twice shy	한번 당하면 두 번째부터는 조심한다
none too pleased	몹시 화가 난
Pull yourself together	진정하다
knackered	피곤한, 망한
on the ball	유능하게 잘한다
Cut somebody some slack	너무 비판적이지 마라
We see eye to eye	동의한다, 의견이 같다/일치한다
Waste not, want not	낭비하지 않으면 아쉬운 일이 없을 것이다
pull through	극복하다
call it a day	하루 일과를 끝내다, 그만 마치다
Cutting corners	시간이나 돈을 절약하기 위해서 무엇인가를 허술하게 하다
at the time	그 때에
He who laughs last laughs loudest	최후의 승자가 진정한 승자다
Play devil's advocate	반대를 위한 반대를 하다
Get out of hand	통제를 벗어난, 걷잡을 수 없는, 감당할 수 없는
You can't make a omelet without breaking some eggs	모든 일에는 대가가 있다
to get bent out of shape	화를 내다
Bolt from the blue	마른하늘에 날벼락, 청천벽력, 뜻밖의 사건
go for broke	올인, 몰빵
Bolt from the blue	청천벽력
The elephant in the room	모두가 언급하길 꺼리는 중요한 일
No pain, no gain	공짜는 없다. 노력 없이 얻어지는 것은 없다, 노력해라
Add insult to injury	좋지 않은 상황을 더 악화시키다
You can't judge a book by its cover	겉으로만 판단해서는 안 된다
Don't give up your day job	잘 할 수 없는 것에 너무 공들이지 마라. 너 그거 잘 못해
Do something in a drop of a hat	빠르게, 즉시, 곧장
Let someone off the hook	누군가에게 무엇인가에 대한 책임을 지우지 않다
in the thick of	한창 때에, 중간에
It ain't over till the fat lady sings	아직 끝나지 않았다
Get something out of your system	나아가기 위해 했어야 하는 일을 하는 것
Wrap your head around something	복잡한 것을 이해하다
An apple a day keeps the doctor away	사과는 건강에 좋다
easy does it	살살하다
Hang in there	버텨라, 포기하지 말아라
We see eye to eye	우리는 동의한다
The ball is in your court	이것은 당신의 결정이다
peg down	고정하다, 구속하다
Go back to the drawing board	다시 시작하다
elephant in the room	불편한 진실
ring a bell	떠오르다
old hand	노련한 사람, 베테랑
Once in a blue moon	매우 드물다, 거의 일어나지 않는 일
Barking up the wrong tree	헛다리를 짚다, 실수, 잘못된 곳
I'm still sitting on the fence	결정을 못한. 정할 수 없는
The devil is in the details	멀리서는 좋게 보이지만, 좀 더 자세히 보면 문제가 있다
The elephant in the room	커다란 문제, 사람들이 회피하는 문제
A picture is worth 1000 words	말하는 것보다 보여주는 것이 낫다
know the drill	익숙하다
Cut somebody some slack	봐주다. 너그럽게 하다, 사정을 봐주다
rain on my parade	기분을 망치다
There are other fish in the sea	이번 기회를 놓쳐도 다른 기회가 올 것이다
He's not playing with a full deck	바보, 이상한, 정상이 아닌
On cloud nine.	아주아주 행복한. 행복의 절정
