					
	츄	입술이나 볼 등에 입술을 가볍게 맞추는 행위	KISS PECK SMOOCH (CHU)		#소리 #스킨쉽
	치익	액체나 어떤 물체 따위가 아주 센 불에 타들어 가는 소리	FLICK CHK		#소리
	치지지직	액체나 어떤 물체 따위가 아주 센 불에 타들어 가는 소리	CRACKLE FIZZLE (SIZZLE)		#액체 #소리
	카강	얇은 쇠붙이나 유리가 세게 떨어지거나 부딪쳐 울리는 날카로운 소리	CLASH/CLANG CLANK CLINK SWASH CLANG KRAACK CLASH CLUNK (WOODEN SWORDS) SKREEK (끼기기긱)		#타격 #소리
	캬악	몹시 놀라거나 충격을 받아 갑자기 힘을 다하여 날카롭게 지르는 외마디소리	SHRIEK		#동물 #큰소리
	컹컹	개가 짖는 소리	ARF BARK GROWL GRRR WOOF		#동물 #소리
	코오오	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	콰과쾅	크고 무거운 것이 무너지거나 흔들리면서 요란스럽게 울리어 나는 소리	CRACKLE RUMBLE (KRA— KOOM)		#부서짐 #큰소리
	콰앙	무겁고 단단한 물체가 잇따라 바닥에 떨어지거나 다른 물체와 맞부딪쳐 거세게 울릴 때 나는 소리	BOOM KABOOM CRASH CRACK BANG BLAST		#부서짐 #큰소리
	콰직	크고 단단한 물건이 갑자기 부러지거나 깨지거나 부서지는 소리	SMACK WHAM		#부서짐 #소리
	콱	윗니와 아랫니 사이에 끼운 상태로 상처가 날만큼 세게 누르다	BITE CHOMP (SNARE) (SNATCH)		#얼굴 #입 #행동
	콸콸	물 따위의 액체가 가는 줄기로 몰려서 조금씩 흐르는 소리	POUR (GLUG)		#액체 #소리
	쾅	총이나 대포를 쏘거나 폭발물이 터질 때 거세게 울리어 나는 소리	BANG		#부서짐 #큰소리
	쿠당탕	무거운 물체가 단단한 곳에 부딪치거나 넘어질 때 나는 소리를 나타내는 말	CRASH CLATTER SCUFFLE TUMBLE (WRESTLE) (GRAPPLE)		#소리 #큰소리
	쿠룩	목이나 기관지의 점막이 자극을 받아 갑작스럽게 거친 숨이 목구멍에서 터져 나옴	KEGH, KLEGH, KHOFF		#호흡 #소리 #고통
	쿠르릉	사나운 짐승이 성내어 크게 울부짖는 소리	SNARL/GROWL		#동물 #큰소리 #화남
	쿠우우	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	쿠울	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	쿡	작은 물건으로 힘있고 깊게 찌르거나 쑤시거나 파는 모양을 나타내는 말	PIERCE POKE STAB		#타격 #소리
	쿨쿨	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	쿵	희망이 없어져 체념하고 포기함	DESPAIR (SINK)		#감정 #느낌
	쿵	무거운 물건이 단단한 바닥에 떨어지거나 부딪칠 때 둔하게 울리는 소리	THUMP		#감정 #느낌
	크르르	사나운 짐승이 성내어 크게 울부짖는 소리	GRRR GROWL ROAR		#동물 #소리 #화남
	킁	콧구멍으로 숨을 띄엄띄엄 세차게 내쉬거나 들이마시는 소리	SNIFF SNOOZE ZZZZ (SNORE)		#호흡 #모습
	키엑	몹시 놀라거나 충격을 받아 갑자기 힘을 다하여 날카롭게 지르는 외마디소리	SHRIEK		#동물 #큰소리
	타닥	컴퓨터 따위의 자판을 두드리는 소리	TYPE TAP		#소리
	타닥	단단한 바닥에 급히 부딪치는 소리가 잇따라 나다	GALLOP GALLOP		#큰모션 #소리 #행동
	타앙	탄탄하고 탄력이 있는 물건이 거세게 부딪치거나 떨어질 때 울리어 나는 소리	SWISH		#소리
	탁	단단한 것에 세게 부딪치는 소리	SLAP SMACK SWAT SWACK		#타격 #소리
	탁	컴퓨터 따위의 자판을 두드리는 소리	TYPE TAP		#소리
	탁	작고 단단한 물건이 서로 조금 거세게 부딪치는 소리	CLICK CLACK		#소리
	탕	작은 쇠붙이나 단단한 물건이 잇따라 거세게 부딪쳐 울릴 때 나는 소리	SLAM		#소리
	탕	총 따위를 잇따라 쏠 때 나는 소리	BANG		#소리 #큰소리
	털썩	몸집이 큰 사람이 갑자기 힘없이 주저앉거나 쓰러지는 소리	FLOP SIT SLIDE THUD		#행동 #몸
	투닥투닥	서로 뜻이 맞지 않아 이러니저러니 시비를 벌이는 모양	BICKER SQUABBLE QUARREL		#모션
	툭	1.슬쩍 치거나 건드리는 소리 2.조금 큰 것이 갑자기 발 따위에 걸리거나 차이는 소리	DROP PLACE KTUNK THUD (If heavy) BONK THUMP WHOMP (BUMP) (THWHAP) JAB NUDGE		#작은모션 #타격 #행동
	퉁	성이 나다	SWOLLEN (PUFFY)		#얼굴 #입 #표정
	퉁	회전 날개를 돌려서 생기는 양력과 추진력	thwip		#소리 #비행
	팅	순간적으로 힘을 가해 튀어 오르게 하거나 날려보내다	TWING, THWOCK, TWANG		#타격 #소리
	파스스	1.마른잎이나 가랑잎 따위를 거세게 밟을 때 나는 소리 2.단단하고 부스러지기 쉬운 물건을 거칠게 깨물 때 나는 소리	FWOOSH, FSSSH		#부서짐 #소리
	파앗	갑자기 지나가거나 사라지는 모양	(1) FLASH (2) VANISH	(2)SWOOSH SWOOP SWISH	#행동 #모션
	파지직	뜨거운 열에 닿아서 몹시 급하게 바싹 타거나 졸아붙을 때 나는 소리를 나타내는 말	VZZT		#소리
	팍	손으로 가볍게 쓸어 어루만지다	PAT STROKE PET WHACK (if hard)		#스킨쉽 #소리
	팍	거세게 찌르거나 찍거나 누르는 모양을 나타내는 말	POKE PRICK (PIERCE)		#타격 #소리
	팍	힘있게 치거나 내지르거나 쑤시는 소리	SLAM (BANG)		#타격 #소리
	팍	단단한 것에 세게 부딪치는 소리	SLAP SMACK SWAT SWACK		#타격 #소리
	팟	시야에서 벗어나 안 보이게 되다	FWIP SHWP VANISH FLASH		#행동 #모션
	퍽	크고 힘있는(무게감있는) 타격 소리	WHAM WHACK KICK BAM		#타격 #소리
	퍽	아주 맥없이 쓰러지거나 꺾이거나 엎어지는 소리	THWACK POW  THUD SMACK		#타격 #소리
	퍽	진흙 따위를 디딜 때 발이 깊이 빠지는 소리를 나타내는 말. 또는 그 모양을 나타내는 말.	PUSH SHOVE		#타격 #소리
	펄럭	바람에 날려 크게 흔들리다	FLUTTER 		#소리
	펄썩	갑자기 맥없이 주저앉거나 내려앉는 모양	FLOP		#행동 #몸
	펑	풍선이나 폭탄 따위가 갑자기 크고 매우 요란스럽게 터지는 소리	KABOOM FZZZ POW PSHOOO POP		#부서짐 #큰소리
	포옥	두 팔로 두르거나 당겨 가슴에 대거나 품다	EMBRACE GRAB HUG SQUEEZE		 #스킨쉽 #모습
	푸드덕	새가 날개를 크고 힘차게 치는 소리	FLAP FLUTTER		#소리 #비행 #동물
	푸욱	작은 물건으로 힘있고 깊게 찌르거나 쑤시거나 파는 모양을 나타내는 말	PIERCE POKE STAB		#타격 #소리
	푸욱	기세나 기운이 없어지다	DROOP SLOUCH SLUMP (DROP) (SINK)		#머리(head) #조용함 #작은모션
	푹	작은 물건으로 힘있고 깊게 찌르거나 쑤시거나 파는 모양을 나타내는 말	PIERCE POKE STAB		#타격 #소리
	푹	기세나 기운이 없어지다	DROOP SLOUCH SLUMP (DROP) (SINK)		#머리(head) #조용함 #작은모션
	풀썩	갑자기 힘없이 크게 주저앉거나 내려앉는 소리를 나타내는 말	FLOP SIT SLIDE THUD		#행동 #몸
	풉	참을 수 없어 터져 나오는 웃음소리	SPIT PUH (PFFT)		#웃음 #소리
	피식	웃음소리는 내지 않고 입술을 힘없이 터뜨리며 싱겁게 한 번 웃을 때 나는 소리	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)		#웃음
	하아	몹시 놀라거나 숨이 차서, 순간적으로 숨을 들이마시거나 숨이 막힐 때 나는 소리	HA AH HAH *GASP*		#호흡 #모습 #표정
	하으아아아함	하품 소리	HAAAAH (verbal sound) YAWN		#호흡 #입 #표정
	핫	숨을 매우 가쁘고 거칠게 쉬는 소리를 나타내는 말	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH		#호흡 #모습 #표정
	허둥지둥	몹시 다급하여 정신을 차릴 수 없을 만큼 마구 갈팡질팡하는 모양을 나타내는 말	HASTY PANIC RUSH FLUSTERED (feeling)		#큰모션
	헉	몹시 놀라거나 숨이 차서, 순간적으로 숨을 들이마시거나 숨이 막힐 때 나는 소리를 나타내는 말	PANT HUFF SURPRISED GASP FLINCH JOLT		#호흡 #소리
	헤벌쭉	이가 드러나 보일 정도로 입을 크게 벌리고 자꾸 웃다	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)		#웃음 #밝음
	호로록	적은 양의 액체나 국수 따위를 가볍고 빠르게 들이마시는 소리	SIP SLURP		#입 #소리 #식사
	화끈	순간적으로 매우 부끄럽고 창피하여 얼굴이 빨개지다	BLUSH FLUSH (angry)		#표정 #감정 #얼굴
	화륵	세차게 활활 타오르는 불꽃	BLAZE		#느낌 #상태
	활짝	얼굴 가득히 웃음을 띤 모양	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)		#웃음 #밝음
	홱	무엇을 힘있게 돌리거나 갑자기 돌아서는 모양을 나타내는 말	SHOO		#행동 #모션
	후다닥	갑자기 빠른 동작으로 뛰거나 몸을 움직이는 모양을 나타내는 말	RUSH TAP TAP TAP DASH CLACK CLACK CLACK (in heels) STOMP STOMP STOMP (angrily walking) SPRINT     SCRAMBLE SWERVE (SCAMPER)		#큰모션 #소리 #행동
	후비적	틈이나 구멍 속을 함부로 긁거나 돌려 파내다	SCRATCH (PICK) (DIG)		#작은모션
	후우	숨을 매우 가쁘고 거칠게 쉬는 소리를 나타내는 말	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH		#호흡 #소리
	후줄근	1.약간 젖어 추레하다 2.고단하여 몸이 맥없이 늘어져 있다 3.손질하지 않아서 반듯하지 않고 주름이 잡히거나 늘어진 상태에 있다	SCRUFFY		#모습
	훅	시야에서 벗어나 안 보이게 되다	FWIP SHWP VANISH FLASH		#행동 #모션
	훌쩍	콧물을 들이마시면서 자꾸 흐느껴 울다	DRIBBLE OOZE (SNIFFLE) (SNIF)	do not use sniff	#호흡 #소리
	휘청	힘이 없어 똑바로 걷지 못하고 기우뚱하며 흔들리는 모양	STUMBLE TRIP		#행동 #모션
	휙	짧은 순간에 뿌리치거나 던지는 모양을 나타내는 말	GRAB SNAG SNATCH YANK		#작은모션 #행동
	휙	두 팔로 힘써 안거나 두 손으로 힘껏 붙잡다	EMBRACE GRAB HUG SQUEEZE		#모션 #빠름 #행동
	휙	곁눈으로 빠르게 노려보는 모양	GLANCE TURN (PEEK) (GLIMPSE)		#조용함 #모션
	휙	짧은 순간에 뿌리치거나 던지는 모양	DRAG TUG YANK WRENCH PULL		#행동 #모션
	휙	시야에서 벗어나 안 보이게 되다	FWIP SHWP VANISH FLASH		#행동 #모션
	휙	무엇이 갑자기 지나가거나 떠오르는 모양	AVERT AVOID TURN (DISMISSED)		#작은모션
	휙	좌우 또는 앞뒤로 자꾸 움직이게 하다	WAVE		#행동 #모션
	휴	힘든 일을 하거나 걱정거리가 있어 크고 길게 숨을 내쉴 때 내는 말	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH		#호흡 #소리
	흐윽	기쁘거나 슬프거나 아파서 소리를 내며 눈물을 흘리다	HIC HNG BOOHOO SOB		#슬픔 #소리 #감정
	흐흑	기쁘거나 슬프거나 아파서 소리를 내며 눈물을 흘리다	WEEP SOB WAIL SNIFFLE SNIFF HIC HNG BOOHOO	*not a "spoken sound"	#슬픔 #소리 #감정
	흑	기쁘거나 슬프거나 아파서 소리를 내며 눈물을 흘리다	HIC HNG BOOHOO SOB		#슬픔 #소리 #감정
	흔들	이리저리 조금 크게 자꾸 흔들리다	SHAKE		#행동 #모션
	흠칫	깜짝 놀라서 갑자기 몸을 세게 움츠리는 모양을 나타내는 말	FLINCH TWITCH		#작은모션
	흣	어이없거나 흥미로운 일을 생각하거나 경험할 때 내는 말	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)		#웃음
	힐끔	곁눈질하여 재빨리 쳐다보는 모양	GLANCE		#작은모션
	힝	기쁘거나 슬프거나 아파서 소리를 내다	HIC HNG BOOHOO SOB		#슬픔 #소리 #감정
	힝구	기쁘거나 슬프거나 아파서 소리를 내며 눈물을 흘리다	HIC HNG BOOHOO SOB		#슬픔 #소리 #감정
	후우	입을 크게 벌렸다 오므리며 담배를 세게 빠는 모양을 나타내는 말	DRAG INHALE HOO EXHALE PUFF		#호흡 #모습 #입
	잠잠	1.가만히 있으면서 아무 말이 없다 2.움직이지 않고 가라앉은 상태	DEEP THOUGHT FOCUSED PONDER (PENSIVE)		#조용함
	쫑긋	입이나 귀를 꼿꼿이 세우거나 뾰족이 내미는 모양	PERK (ALERT)		#행동 #모션
	갈팡질팡	마음이나 상황 따위가 확고하지 못하고 흔들림	FLAIL (PANIC)		#감정 #느낌
	쿵쿵	세게 내리밟다	STOMP (DASH)		#큰모션 #소리 #행동
	욱신	몸과 마음의 아픔이나 괴로움을 겪다	PANG		#상태 #고통 #느낌
	골똘	이리저리 헤아리며 깊이 생각하는 상태	PONDER WONDER		#감정 #느낌
	멍	사람이 하려고 한 말이 나오지 못하게 되다	DAZED/DUMBFOUNDED		#표정 #감정 #얼굴
	추욱	희망이 없어져 체념하고 포기함	DESPAIR		#감정
	또옥	작은 물체가 잇따라 가볍게 떨어지는 소리	TAP TAP		#액체 #소리
	큐	작은 동물의 소리의 일종	GYUU/KYUU MEW KREE NOM TRILL SNUFF YIP		#동물 #소리
	꿀꿀	돼지가 내는 소리	GRUNT OINK SNORT GWEEEEK / GWEEEE		#동물 #소리
	사사삭	조용하고 빠르게 움직이는 소리	PSHHK, FWISH 		#소리
	푸슉	화살이나 탄환 따위가 겨냥한 곳에 바로 맞음	SHLUNK		#타격 #소리
	피융	총 따위가 강하게 터질 때 나는 소리	PEW		#타격 #소리
	쫘악	단번에 거침없이 갈라지거나 세게 찢어지는 모양	SNAP, SLASH, FWIP		#타격 #소리
	에헴	짐짓 위엄을 내거나 자기가 있음을 알리기 위하여 크게 헛기침을 할 때 하는 말	ahem		#소리 #감정
	메에	양이나 염소의 울음소리	baa		#동물 #소리
	흥	대수롭지 않다고 생각하여 비웃거나 아니꼬울 때 코로 내는 말	bah		#소리
	꺼억	구역질이 나서 갑자기 토하거나 트림하는 소리	belch		#소리
	우우	여러 사람이 한꺼번에 남을 야유할 때 내는 말	boo		#군중 #소리 #큰소리
	삐약삐약	병아리가 계속 약하게 우는 소리	cheep-cheep		#동물 #소리
	딩동	초인종이 울리는 소리	chime		#소리
	재잘재잘	빠르고 떠들썩하게 자꾸 이야기하는 소리	chatter		#소리
	쨍그랑	얇은 쇠붙이나 유리 따위가 세게 떨어지거나 부딪쳐 울리는 소리	clang		#부서짐 #큰소리
	짝짝	환영, 축하, 기쁨, 찬성의 표시 등으로 손뼉을 마주 두드리거나 침	clap		#소리 #큰소리
	꼬꼬댁	닭이 깜짝 놀라거나 알을 낳은 뒤에 우는 소리	cluck		#동물 #소리
	뻐꾹	뻐꾸기가 우는 소리	cuckoo		#동물 #소리
	이크	갑작스러운 일로 몹시 놀라 급히 멈추거나 피할 때 내는 말	eek		#소리 #감정 #급작
	콜록콜록	가슴 얕은 곳에서 잇따라 울려 나오는 작은 기침 소리	hack		#소리 #고통
	딸꾹	딸꾹질하는 소리	hiccup		#상태 #소리
	흠	언짢거나 아니꼬울 때 입을 다물고 콧숨을 내쉬며 내는 말	huh		#호흡 #소리
	음매	소가 우는 소리	moo		#동물 #소리
	아야	갑자기 아픔을 느낄 때 내는 말	ouch ow		#소리 #고통
	퐁당	작고 단단한 물건이 물에 떨어지거나 빠질 때 가볍게 나는 소리	plop		#액체 #소리
	꽥꽥	거위가 우는 소리와 같이 목청을 높여 갑자기 꽥꽥 지르는 소리	quack		#동물 #소리
	쉿	소리를 내지 말라는 뜻으로 급하게 내는 말	shush		#입 #소리
	싹둑	연한 물건을 거침없이 단번에 자르거나 베는 소리	snip		#작은소리
	똑딱똑딱	시계나 작은 기계 따위가 잇따라 돌아가는 소리	tick-tock		#작은소리
	웩	역겨움·불쾌감을 나타내는 소리	ugh		#소리 #감정
	쌩	바람이 빠르고 세차게 스쳐지나가거나, 물체가 세찬 바람을 일으키며 재빠르게 지나갈 때 나는 소리	whizz		#소리 #빠름
	히죽히죽	마음에 흡족하여 슬며시 자꾸 웃는 모양			#표정 #웃음 #얼굴
	퍼뜩	어떤 생각이 갑자기 아주 순간적으로 떠오르는 모양			#표정 #감정 #얼굴
	폴짝	가볍고 힘있게 뛰어오르는 모양			#모션 #행동
	철썩	1.큰 물체가 끈기 있고 거세게 부딪치거나 달라붙을 때 나는 소리 2.많은 양의 액체가 넓고 평평한 물체에 끈기 있고 몹시 세게 부딪칠 때 나는 소리			#타격 #소리 #액체
	질질	바닥에 늘어지거나 닿아서 느리게 끌리는 소리. 또는 그 모양			#모션 #행동
	쭈뼛쭈뼛	부끄럽거나 무서워서 쉽게 나서지 못하고 자꾸 몹시 머뭇거리는 모양			#작은모션 #행동
	이글이글	1.불이 활활 타서 불꽃이 피어오르는 모양 2.정열이나 분노 따위의 감정이 매우 왕성하게 나타나 보이는 모양			#상태 #감정 #화남
	뭉게뭉게	연기나 구름 따위가 크고 둥글게 뭉쳐서 잇달아 나오는 모양			#느낌 #상태
	울컥	격한 감정이 갑자기 심하게 치미는 모양			#상태 #감정
	바삭	단단하고 부스러지기 쉬운 물건을 가볍게 깨물 때 나는 소리			#부서짐 #소리
	발끈	사소한 일에 왈칵 성을 내는 모양			#표정 #감정 #화남
	오도독	1.작고 단단한 물건을 깨무는 소리 2.작고 단단한 물체가 꺾이거나 부러지는 소리			#부서짐 #작은소리
	쓱싹쓱싹	톱질이나 줄질을 할 때 자꾸 쓸리면서 나는 소리			#소리
	씰룩	얼굴이나 근육의 한 부분이 한쪽으로 세게 비뚤어지게 움직이는 모양			#표정 #감정 #얼굴
	스르르	얽히거나 맺히거나 묶인 것이 부드럽게 풀리는 모양			#모션
	글썽	눈에 눈물이 넘칠 듯이 그득하게 고이는 모양			#슬픔 #표정
	덜컥	단단한 물건이 서로 거세게 부딪치는 소리			#소리
	첨벙	크고 무거운 물체가 물에 거칠게 떨어져 잠길 때 나는 소리			#액체 #소리
	살랑살랑	가벼운 물체나 물결 따위가 바람에 조금씩 자꾸 흔들리거나 움직이는 모양			#작은모션
	복슬복슬	살이 통통하게 찌거나 털이 많아 매우 귀엽고 탐스러운 모양을 나타내는 말			#느낌 #상태